Lee Aaker
Willie Aames
Quinton Aaron
Victor Aaron
Abbott and
Bruce Abbott
Bud Abbott
Christopher Abbott
Philip Abbott
Jake Abel
Walter Abel
Zachary Abel
F. Murray
Jon Abrahams
Austin Abrams
Omid Abtahi
Yousef Abu-Taleb
Kirk Acevedo
Jensen Ackles
Rodolfo Acosta
Jay Acovone
Eddie Acuff
Jason Acuña
Ad-Rock 
Robert Adair
Brandon Adams
CJ Adams
Don Adams
Ernie Adams
J. B.
Joe Adams
Julian Adams
Mason Adams
Nick Adams
R. J.
Rob Adams
Stanley Adams
Ted Adams
Victor Adamson
Thom Adcox-Hernandez
Anthony Addabbo
Wesley Addy
Tunde Adebimpe
Ilunga Adell
Paul Adelstein
Jovan Adepo
Patrick Adiarte
Lawrence Adisa
Seth Adkins
Trace Adkins
Jay Adler
Jerry Adler
Joe Adler
Julius Adler
Luther Adler
Matt Adler
Max Adler
James Adomian
Franklin Adreon
Scott Adsit
Nick Afanasiev
Ben Affleck
Casey Affleck
John Agar
Arthur Agee
Steve Agee
Robert Agnew
Jonathan Ahdout
Waris Ahluwalia
Ahmed Ahmed
Philip Ahn
Charles Aidman
Danny Aiello
Danny Aiello
Liam Aiken
Alan Aisenberg
Spottiswoode Aitken
Franklyn Ajaye
Ayad Akhtar
Gbenga Akinnagbe
Claude Akins
Marc Alaimo
Mark Alan
Matthew Alan
Rico Alaniz
Carlos Alazraqui
Luis Alberni
Devin Albert
Eddie Albert
Edward Albert
Micah Alberti
Coit Albertson
Frank Albertson
Jack Albertson
J. Grant
Budd Albright
Tucker Albrizzi
Ghazi Albuliwi
Alejandro Alcondez
Todd Alcott
Alan Alda
Antony Alda
Robert Alda
Norman Alden
Tom Aldredge
Fred Aldrich
Kevin Alejandro
Grant Aleksander
Aki Aleong
John Ales
Frank Alesia
Frank Aletter
Ben Alexander
Christian Alexander
Cris Alexander
Flex Alexander
Jace Alexander
Jason Alexander
John Alexander
Max Alexander
Pico Alexander
Richard Alexander
River Alexander
Ross Alexander
Terry Alexander
David Alford
Phillip Alford
Baba Ali
Mahershala Ali
Jed Allan
Stuart Allan
William Alland
Bill Allen
Chad Allen
Chet Allen
Chet Allen
Corey Allen
Dave Allen
Fred Allen
Harry Allen
Jeff Allen
Keegan Allen
Lester Allen
Phillip R.
Rex Allen
Robert Allen
Tim Allen
Tyrees Allen
Woody Allen
Michael Allinson
Bill Allison
Kevin Allison
Marshall Allman
Sheldon Allman
Christopher Allport
Corbin Allred
Usman Ally
Joaquim de
Laz Alonso
Murray Alper
Bruce Altman
Jeff Altman
Bobby Alto
George Alvarez
Tyler Alvarez
John Alvin
Kirk Alyn
Lyle Alzado
Tom Amandes
Ed Amatrudo
Dan Amboyer
Utkarsh Ambudkar
Don Ameche
John Patrick
Robbie Amell
Paul America
Ed Ames
Leon Ames
Robert Ames
Max Amini
John Amos
John Amplas
Mathias Anderle
Glenn Anders
Lemon Andersen
Anthony Anderson
Arthur Anderson
Broncho Billy
Darren Anderson
Daryl Anderson
Deke Anderson
Eddie "Rochester"
Eric Chase
Erich Anderson
George Anderson
Haskell V
Herbert Anderson
James Anderson
Jeff Anderson
